country_code,country,year,hs_section_code,hs_section,trade_value_usd,source,source_url
UZB,Uzbekistan,2016,11,Textiles,1345565521.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,12,Footwear and Headwear,14922060.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,13,Stone And Glass,10988862.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,14,Precious Metals,2880523432.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,15,Metals,625007147.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,16,Machines,62043363.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,17,Transportation,33438781.000000004,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,18,Instruments,145694808.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,19,Weapons,126.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,20,Miscellaneous,5155112.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2016,21,Arts and Antiques,1850340.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,01,Animal Products,26152954.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,02,Vegetable Products,975724970.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,03,Animal and Vegetable Bi-Products,743164.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,04,Foodstuffs,78421566.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,05,Mineral Products,1715500187.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,06,Chemical Products,414734011.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,07,Plastics and Rubbers,501587964.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,08,Animal Hides,131279918.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,09,Wood Products,2152044.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,10,Paper Goods,36240672.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,11,Textiles,1665840425.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,12,Footwear and Headwear,17932348.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,13,Stone And Glass,88605677.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,14,Precious Metals,3762390914.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,15,Metals,1049874042.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,16,Machines,208510041.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,17,Transportation,177192770.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,18,Instruments,161466677.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,19,Weapons,376.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
UZB,Uzbekistan,2017,20,Miscellaneous,9861633.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data",https://api.oec.world/tesseract/data.jsonrecords
