dataset,country_code,country,year,variable,value,source
exports_by_hs_section,VNM,Vietnam,2013,Animal Products,4922505975.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Animal and Vegetable Bi-Products,242649120.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Arts and Antiques,4287865.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Chemical Products,2312361113.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Foodstuffs,3383772297.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Footwear and Headwear,12074766805.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Instruments,1485127573.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Machines,52602444312.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Metals,5078302146.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Mineral Products,11114969070.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Miscellaneous,6857279712.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Paper Goods,644130974.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Plastics and Rubbers,5170541369.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Precious Metals,928218953.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Stone And Glass,1372168710.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Textiles,24131839496.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Transportation,2151390080.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Vegetable Products,9825799856.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Weapons,481437.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2013,Wood Products,2523626080.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Animal Hides,3308399454.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Animal Products,5733222072.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Animal and Vegetable Bi-Products,257918490.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Arts and Antiques,6188727.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Chemical Products,2850463674.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Foodstuffs,4041059971.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Footwear and Headwear,14576070534.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Instruments,1994904169.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Machines,58136472834.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Metals,6065391909.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Mineral Products,10357766381.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Miscellaneous,8185458416.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Paper Goods,670506190.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Plastics and Rubbers,5379893362.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Precious Metals,502255715.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Stone And Glass,1732321044.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Textiles,27617726431.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Transportation,2907938547.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Vegetable Products,10922374361.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Weapons,295036.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2014,Wood Products,2796811272.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Animal Hides,3982436060.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Animal Products,5123394205.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Animal and Vegetable Bi-Products,268076369.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Arts and Antiques,4515778.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Chemical Products,2896748642.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Foodstuffs,3946469888.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Footwear and Headwear,16508745639.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Instruments,2251187984.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Machines,73166637276.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Metals,5931884024.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Mineral Products,6224423857.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Miscellaneous,9224265607.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Paper Goods,664013855.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Plastics and Rubbers,5498870198.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Precious Metals,532449484.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Stone And Glass,1874223068.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Textiles,30095158037.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Transportation,2910378456.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Vegetable Products,11469718185.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Weapons,281842.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2015,Wood Products,2740664185.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Animal Hides,4216979978.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
exports_by_hs_section,VNM,Vietnam,2016,Animal Products,5357353202.0,"OEC/BACI HS6 REV. 1992, derived from international merchandise trade data"
