country_code,country,year,fdi_gdp,gdp_pc,lpi,mfg_va,trade_open
KAZ,Kazakhstan,2011,7.14351039762779,11287.1464926039,,11.0865742214899,73.1178570509129
KAZ,Kazakhstan,2012,6.56164821145973,12018.7966527993,2.69,11.0807990431371,73.7237324891671
KAZ,Kazakhstan,2013,4.23069709209016,13478.459627612,,10.6349738343331,65.4076093299538
KAZ,Kazakhstan,2014,3.3006311188168,12427.7094576939,2.69942,10.3182436278483,64.9720346513507
KAZ,Kazakhstan,2015,3.56737402233377,10196.1226255982,,10.2754093827734,53.0497288072652
KAZ,Kazakhstan,2016,12.5466202801438,7475.56688689424,2.751998,11.3301396708405,60.3115965864153
KAZ,Kazakhstan,2017,2.85205738000704,8943.08416791984,,11.2801569362864,56.825387935971
KAZ,Kazakhstan,2018,0.196995426846668,9472.48527327758,2.81,11.4286227484553,63.5279565118188
KAZ,Kazakhstan,2019,2.05367649290766,9457.12614657136,,11.466364067234,64.8586165517565
KAZ,Kazakhstan,2020,4.21199990309163,8781.50797787648,,13.0725321801007,57.0264423660931
KAZ,Kazakhstan,2021,2.31675874599247,9983.60103576902,,13.6087547428034,58.6686085779207
KAZ,Kazakhstan,2022,2.25355434978679,11255.3396437881,2.7,13.4242966658263,68.3343147415612
KAZ,Kazakhstan,2023,2.18549414987511,12879.4275257974,,12.2881884103734,62.3342837675021
KAZ,Kazakhstan,2024,0.678943746848058,14154.6324958076,,12.3935343078141,57.1613431963924
THA,Thailand,1995,1.22161487733782,2864.36515719866,,26.2081119799014,89.7561749368245
THA,Thailand,1996,1.27616818910847,3054.65690806473,,25.6659977872653,84.2741479979753
THA,Thailand,1997,2.59338342691776,2473.14096982086,,26.4681730077214,95.0517906464755
THA,Thailand,1998,6.43480671140772,1847.70379269771,,27.1478594413378,100.240473732828
THA,Thailand,1999,4.81780662046842,2033.24490520569,,28.174948317538,100.706288704433
THA,Thailand,2000,2.66312868727133,2005.97694514234,,28.375445282081,121.297955351472
THA,Thailand,2001,4.21223509530842,1889.93432467144,,27.8267674786216,120.267966273533
THA,Thailand,2002,2.48815301889834,2089.75183111554,,28.5150317752876,114.969743021067
THA,Thailand,2003,3.43593984811892,2347.54001286066,,29.5805029456399,116.692819704865
THA,Thailand,2004,3.38947495269123,2641.56268717857,,29.4189680545022,127.411873720393
THA,Thailand,2005,4.33958708070528,2867.70383436062,,29.6150680597619,137.853866832247
THA,Thailand,2006,4.0212567065949,3331.32043511773,,30.1680799710117,134.086946191268
THA,Thailand,2007,3.28356939351343,3918.52817434581,3.31,30.5874496669954,129.873226989717
THA,Thailand,2008,2.93824905393328,4309.13509292986,,30.5547305435118,140.437011540931
THA,Thailand,2009,2.27590224065624,4135.43986952819,,29.4621400654976,119.269418854589
THA,Thailand,2010,4.32320928209171,4973.86288823778,3.29,30.9304788194459,127.250522638251
THA,Thailand,2011,0.667087644548593,5373.6232832898,,28.9958809244545,139.675407224576
THA,Thailand,2012,3.24456444314608,5725.52802835463,3.18,27.9727873518431,137.67493851024
THA,Thailand,2013,3.79126450872817,6018.08244729255,,27.5886907461759,132.462274174269
THA,Thailand,2014,1.22145318013998,5801.1978916205,3.42958,27.5735009565918,130.905495444398
THA,Thailand,2015,2.22468548959784,5688.85335397884,,27.3740711959416,124.839662152526
THA,Thailand,2016,0.843364340718618,5833.57715617098,3.2551,27.1442393688371,120.57522728913
THA,Thailand,2017,1.81550260101987,6413.09182530343,,27.0148154805347,120.891427433638
THA,Thailand,2018,2.71279835138662,7099.77650081458,3.41,26.7128343918527,120.841864730984
THA,Thailand,2019,1.01734877580041,7605.69657797759,,25.6215964143658,109.689514715166
THA,Thailand,2020,-0.857989527274493,6985.64393892574,,25.5553325712421,97.8007432465178
THA,Thailand,2021,3.04025282072429,7057.20754802279,,27.1516178101018,117.252944620852
THA,Thailand,2022,2.39179841841837,6909.35281815827,3.5,27.0235171521781,132.858712082871
THA,Thailand,2023,2.00183400496619,7195.10130919449,,24.9792811540709,128.824114152375
THA,Thailand,2024,2.71636831286516,7346.62022142185,,24.3302698519497,136.747107022451
UZB,Uzbekistan,1995,-0.179769069574583,582.54213674034,,,
UZB,Uzbekistan,1996,0.645212527339969,597.33228695111,,,
UZB,Uzbekistan,1997,1.13126132489788,620.59129581366,,,57.1985913618542
UZB,Uzbekistan,1998,0.931351445248341,621.048904301242,,,45.4179547762326
UZB,Uzbekistan,1999,0.7096656112296,697.763539790812,,,36.6188588125863
UZB,Uzbekistan,2000,0.542857629929967,555.149231099186,,,44.0540299791129
UZB,Uzbekistan,2001,0.726225245162731,454.415812256778,,,56.776277587152
UZB,Uzbekistan,2002,0.674044441759953,381.409296889283,,,58.954524710746
UZB,Uzbekistan,2003,0.815041487200325,394.164028897235,,,70.4592746850874
UZB,Uzbekistan,2004,1.46799380148438,462.171492867885,,,76.5956691950086
UZB,Uzbekistan,2005,1.49216056466347,542.835808692209,,,69.5252584247083
UZB,Uzbekistan,2006,1.19530557570436,649.118167003925,,,67.4712921717973
UZB,Uzbekistan,2007,2.99176207276698,824.028192334768,2.16,,74.4141929762327
UZB,Uzbekistan,2008,1.85438789059302,1074.72928796701,,,79.7479920348578
UZB,Uzbekistan,2009,1.81985173937585,1205.7993547038,,,68.673142199791
UZB,Uzbekistan,2010,3.34115466012917,1753.20730243278,2.79,10.1811359695823,49.2689977994484
UZB,Uzbekistan,2011,2.68375111593279,2087.86386135694,,10.2450890019411,49.6542884929351
UZB,Uzbekistan,2012,1.10230120247607,2307.34649117185,2.46,10.5353690643513,44.2393191333204
UZB,Uzbekistan,2013,0.945033981533171,2461.97947403595,,11.6145232608903,42.3779149727359
UZB,Uzbekistan,2014,1.00027476951682,2674.9628382103,2.39477,12.6883574975987,36.3570546649043
UZB,Uzbekistan,2015,1.20794015152469,2803.19018021751,,12.8094689336525,30.7561914307089
UZB,Uzbekistan,2016,1.93048466413592,2753.37951427589,2.404525,13.6540206285506,29.1922970388042
UZB,Uzbekistan,2017,2.57993736270607,2190.60411562888,,14.0025699748323,42.5595081895217
UZB,Uzbekistan,2018,1.06427628704368,1813.08530813664,2.58,16.1531607468822,64.1381394985773
UZB,Uzbekistan,2019,3.44235052410005,2041.38480729431,,17.547885761433,64.9639227632407
UZB,Uzbekistan,2020,2.60108803608825,1978.28051860763,,19.1278574156415,56.0515308349971
UZB,Uzbekistan,2021,2.94839500995796,2258.51964119278,,19.470717302152,57.4589716973222
UZB,Uzbekistan,2022,2.94947448385164,2578.66689394219,2.6,19.0715817765466,62.8412525378517
UZB,Uzbekistan,2023,2.10084902446518,2878.96879292451,,19.3636989151573,66.1051443040339
UZB,Uzbekistan,2024,2.5972703195852,3161.70010632875,,20.1938734830319,60.7274403812997
VNM,Viet Nam,1995,8.58596585460392,287.802661028593,,,74.7212659206088
VNM,Viet Nam,1996,9.71308063712156,337.051231790277,,,92.7057468018939
VNM,Viet Nam,1997,8.2700967582097,361.643884085566,,,94.3444840684516
VNM,Viet Nam,1998,6.14121440264586,361.350928411167,,,97.0012485118429
VNM,Viet Nam,1999,4.92266345680124,375.994455900496,,,102.787406603958
VNM,Viet Nam,2000,4.16392407955693,404.029784055118,,,111.417094419512
VNM,Viet Nam,2001,3.97733545270572,419.205677580901,,,111.955937998525
VNM,Viet Nam,2002,3.99268705133996,445.132861817313,,,116.696868652499
VNM,Viet Nam,2003,3.66601229989583,497.117089249256,,,124.327954439125
VNM,Viet Nam,2004,3.54408107288199,565.452284586212,,,133.016497868747
VNM,Viet Nam,2005,3.39040363930871,710.746759994861,,18.8232835631471,130.714846045026
VNM,Viet Nam,2006,3.61600090432522,807.756645117054,,19.3807256267869,138.313621869598
VNM,Viet Nam,2007,8.65471771434805,925.640338348717,2.89,19.3804144953877,154.605383996554
VNM,Viet Nam,2008,9.6630390545572,1163.83195772873,,18.5796576460957,154.317479627758
VNM,Viet Nam,2009,7.16881988884276,1226.16976051536,,18.3010354592131,134.706317721758
VNM,Viet Nam,2010,5.4347392933443,1683.16182443979,2.96,17.1305705708367,113.977687539714
VNM,Viet Nam,2011,4.30487434902161,1950.92504174913,,18.694145538196,125.260577940829
VNM,Viet Nam,2012,4.27832287681174,2185.11767654291,3.0,20.2740924828827,123.224116745985
VNM,Viet Nam,2013,4.16454517277325,2359.51736472828,,20.6874536915425,130.846354866743
VNM,Viet Nam,2014,3.94086189051961,2546.38464459903,3.154763,20.371229229791,135.410521454361
VNM,Viet Nam,2015,4.93190773329022,2577.56885340113,,20.9600916821922,144.914228195237
VNM,Viet Nam,2016,4.90089302916746,2735.0604380416,2.976629,21.4882532002034,145.409507973118
VNM,Viet Nam,2017,5.01148721749681,2956.10992127753,,22.6271239749306,160.98008365887
VNM,Viet Nam,2018,4.99828319622328,3222.31003125366,3.27,23.3671679233065,164.663936775893
VNM,Viet Nam,2019,4.821074861051,3440.90025375434,,23.7867165015145,164.704215031408
VNM,Viet Nam,2020,4.55836196782424,3534.03953482647,,23.9472430412931,163.245862814935
VNM,Viet Nam,2021,4.27314566190187,3704.1935590038,,24.4593726835115,186.675832836814
VNM,Viet Nam,2022,4.32947308910883,4147.69777213621,3.3,24.7772286923041,183.153619147836
VNM,Viet Nam,2023,4.26407109843686,4323.35031982451,,24.179672453009,164.818071269894
VNM,Viet Nam,2024,4.23394171325231,4717.29028732449,,24.4304272603192,173.862024782965
