country,iso2c,iso3c,year,status,lastupdated,mfg_va,fdi_pct_gdp,gdp_pc,trade_open,gfcf,lpi,edu_enroll,region,capital,longitude,latitude,income,lending
Uzbekistan,UZ,UZB,2011,,2026-04-08,10.2450890019411,2.68375111593279,2087.86386135694,49.6542884929351,20.7843666958629,NA,8.58497947573208,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2012,,2026-04-08,10.5353690643513,1.10230120247607,2307.34649117185,44.2393191333204,20.894843279837,2.46,7.84954008903504,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2013,,2026-04-08,11.6145232608903,0.945033981533171,2461.97947403595,42.3779149727359,21.7617594826989,NA,7.97676963416095,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2014,,2026-04-08,12.6883574975987,1.00027476951682,2674.9628382103,36.3570546649043,22.185351439757,2.39477,7.99231869405469,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2015,,2026-04-08,12.8094689336525,1.20794015152469,2803.19018021751,30.7561914307089,22.0905771004939,NA,8.05320814639575,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2016,,2026-04-08,13.6540206285506,1.93048466413592,2753.37951427589,29.1922970388042,21.6785573020986,2.404525,8.33958377998093,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2017,,2026-04-08,14.0025699748323,2.57993736270607,2190.60411562888,42.5595081895217,22.9671633501257,NA,8.64750307019382,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2018,,2026-04-08,16.1531607468822,1.06427628704368,1813.08530813664,64.1381394985773,29.7516540862651,2.58,9.95855522351711,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2019,,2026-04-08,17.547885761433,3.44235052410005,2041.38480729431,64.9639227632407,36.7876684138932,NA,13.0316667432446,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2020,,2026-04-08,19.1278574156415,2.60108803608825,1978.28051860763,56.0515308349971,34.544998301372,NA,15.9720957084892,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2021,,2026-04-08,19.470717302152,2.94839500995796,2258.51964119278,57.4589716973222,32.1511552256114,NA,22.0939011675309,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2022,,2026-04-08,19.0715817765466,2.94947448385164,2578.66689394219,62.8412525378517,29.3057438759691,2.6,31.701936179599,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
Uzbekistan,UZ,UZB,2023,,2026-04-08,19.3636989151573,2.10084902446518,2878.96879292451,66.1051443040339,32.4291992653019,NA,45.7591768686293,Europe & Central Asia,Tashkent,69.269,41.3052,Lower middle income,Blend
